id,alias,instrumentModel,firstCreated,firstPublic,releaseStatus,submissionAccountId,studyId,experimentId,sampleId
ERR15991304,"revseq_run_m2-4SnyCD_20251203113919943334","NextSeq 500",2025-12-03T11:48:31,2025-12-03T16:04:56,PUBLIC,Webin-65854,ERP167225,ERX15386410,ERS28304259
ERR15991303,"revseq_run_m2-kwbwf8_20251203113919989912","NextSeq 500",2025-12-03T11:48:24,2025-12-03T16:04:51,PUBLIC,Webin-65854,ERP167225,ERX15386409,ERS28304258
ERR15991302,"revseq_run_m2-UqhsDL_20251203113920037143","NextSeq 500",2025-12-03T11:48:13,2025-12-03T16:04:54,PUBLIC,Webin-65854,ERP167225,ERX15386408,ERS28304257
ERR15991301,"revseq_run_m2-RyXauM_20251203113920084608","NextSeq 500",2025-12-03T11:48:06,2025-12-03T16:04:38,PUBLIC,Webin-65854,ERP167225,ERX15386407,ERS28304256
ERR15991300,"revseq_run_m2-ydSpNQ_20251203113920129483","NextSeq 500",2025-12-03T11:48:00,2025-12-03T16:04:56,PUBLIC,Webin-65854,ERP167225,ERX15386406,ERS28304255
ERR15991299,"revseq_run_m2-SKJgwA_20251203113920173342","NextSeq 500",2025-12-03T11:47:54,2025-12-03T16:04:35,PUBLIC,Webin-65854,ERP167225,ERX15386405,ERS28304254
ERR15991298,"revseq_run_m2-DwiwwU_20251203113920217178","NextSeq 500",2025-12-03T11:47:47,2025-12-03T16:04:36,PUBLIC,Webin-65854,ERP167225,ERX15386404,ERS28304253
ERR15991297,"revseq_run_m2-xYnaUy_20251203113920263569","NextSeq 500",2025-12-03T11:47:41,2025-12-03T16:04:49,PUBLIC,Webin-65854,ERP167225,ERX15386403,ERS28304252
ERR15991296,"revseq_run_m2-xrRPFj_20251203113920310367","NextSeq 500",2025-12-03T11:47:34,2025-12-03T16:04:57,PUBLIC,Webin-65854,ERP167225,ERX15386402,ERS28304251
ERR15991294,"revseq_run_m2-sxkK9R_20251203113920357911","NextSeq 500",2025-12-03T11:47:25,2025-12-03T16:04:56,PUBLIC,Webin-65854,ERP167225,ERX15386400,ERS28304250
ERR15991293,"revseq_run_m2-DMLKnU_20251203113920406023","NextSeq 500",2025-12-03T11:47:17,2025-12-03T16:04:41,PUBLIC,Webin-65854,ERP167225,ERX15386399,ERS28304249
ERR15991291,"revseq_run_m2-2b8YpQ_20251203113920454067","NextSeq 500",2025-12-03T11:47:07,2025-12-03T16:04:50,PUBLIC,Webin-65854,ERP167225,ERX15386397,ERS28304247
ERR15991290,"revseq_run_m2-gyUNUP_20251203113920498551","NextSeq 500",2025-12-03T11:46:57,2025-12-03T16:04:56,PUBLIC,Webin-65854,ERP167225,ERX15386396,ERS28304246
ERR15991289,"revseq_run_m2-PZQaiq_20251203113920544109","NextSeq 500",2025-12-03T11:46:49,2025-12-03T16:04:34,PUBLIC,Webin-65854,ERP167225,ERX15386395,ERS28304245
ERR15991288,"revseq_run_m2-hPpCR3_20251203113920589130","NextSeq 500",2025-12-03T11:46:41,2025-12-03T16:04:43,PUBLIC,Webin-65854,ERP167225,ERX15386394,ERS28304244
