Klebsiella phage vB_KpnP_IL33,1907783,Klebsiella phage vB_KpnP_IL33
Klebsiella phage vB_KpnP_BIS33,1907782,Klebsiella phage vB_KpnP_BIS33
Klebsiella phage vB_KpnP_KpV766,1897431,Klebsiella phage vB_KpnP_KpV766
Enterobacter phage EcpYZU01,2483604,Enterobacter phage EcpYZU01
Escherichia phage IMM-002,2041760,Escherichia phage IMM-002
Escherichia phage Ro45lw,2498616,Escherichia phage Ro45lw
Escherichia phage GA2A,1755695,Escherichia phage GA2A
Cronobacter phage GW1,2200756,Cronobacter phage GW1
Citrobacter phage CR44b,1455075,Citrobacter phage CR44b
Citrobacter phage SH3,1805466,Citrobacter phage SH3
Escherichia phage EcoDS1,532075,Escherichia phage EcoDS1
Shigella phage SFPH2,2269380,Shigella phage SFPH2
Escherichia phage PE3-1,1498170,Escherichia phage PE3-1
Escherichia phage ST31,1983789,Escherichia phage ST31
Citrobacter phage SH4,1805467,Citrobacter phage SH4
Cronobacter phage Dev2,1410331,Cronobacter phage Dev2
Escherichia phage Vec13,2783859,Escherichia phage Vec13
Escherichia phage LM33_P1,1788294,Escherichia phage LM33_P1
Escherichia phage YZ1,2079534,Escherichia phage YZ1
Escherichia phage ZG49,1897641,Escherichia phage ZG49
Escherichia phage K1F,344021,Escherichia phage K1F
Escherichia phage vB_EcoP_F,1933110,Escherichia phage vB_EcoP_F
Salmonella phage Vi06,866889,Salmonella phage Vi06
Escherichia phage Ebrios,2099356,Escherichia phage Ebrios
Stenotrophomonas phage IME15,1239382,Stenotrophomonas phage IME15
Escherichia phage EG1,2053563,Escherichia phage EG1
Escherichia phage NC-A,2528528,Escherichia phage NC-A
Escherichia phage 64795_ec1,1837842,Escherichia phage 64795_ec1
Salmonella phage 3A_8767,2268591,Salmonella phage 3A_8767
Escherichia phage HZ2R8,2079317,Escherichia phage HZ2R8
Escherichia phage CICC 80001,1527506,Escherichia phage CICC 80001
Escherichia phage 13a,532076,Escherichia phage 13a
Escherichia phage HZP2,2530019,Escherichia phage HZP2
Enterobacteria phage vB_EcoP_IME390,2315471,Enterobacteria phage vB_EcoP_IME390
Escherichia phage T7,10760,Escherichia phage T7
Escherichia phage C5,2340717,Escherichia phage C5
Escherichia phage N30,2340719,Escherichia phage N30
Yersinia phage phiA1122,227720,Yersinia phage phiA1122
Yersinia phage YpP-Y,1176766,Yersinia phage YpP-Y
Yersinia phage YpsP-G,1176767,Yersinia phage YpsP-G
Pectobacterium phage PP74,1916101,Pectobacterium phage PP74
Salmonella phage BP12A,1543199,Salmonella phage BP12A
Shigella phage VB_Ship_A7,2562138,Shigella phage VB_Ship_A7
Kluyvera phage Kvp1,47049,Kluyvera phage Kvp1
Escherichia phage P694,1572754,Escherichia phage P694
Salmonella phage vB_STy-RN5i1,2910951,Salmonella phage vB_STy-RN5i1
Yersinia phage PYPS50,2321391,Yersinia phage PYPS50
Escherichia phage P483,1572753,Escherichia phage P483
Erwinia phage FE44,1407608,Erwinia phage FE44
Escherichia phage vB_EcoP_S523,2233775,Escherichia phage vB_EcoP_S523
Escherichia phage 285P,669008,Escherichia phage 285P
Yersinia phage Yepe2,532078,Yersinia phage Yepe2
Escherichia phage BA14,532074,Escherichia phage BA14
Salmonella phage BSP161,2053015,Salmonella phage BSP161
Yersinia phage Yep-phi,928293,Yersinia phage Yep-phi
Yersinia phage Berlin,369257,Yersinia phage Berlin
Pseudomonas phage Henninger,2079287,Pseudomonas phage Henninger
Pseudomonas phage 17A,1729936,Pseudomonas phage 17A
Pseudomonas phage PPPL-1,1755692,Pseudomonas phage PPPL-1
Pseudomonas phage shl2,1729933,Pseudomonas phage shl2
Pseudomonas phage Pf1 ERZ-2017,2761363,Pseudomonas phage Pf1 ERZ-2017
Pseudomonas phage phiPsa17,1629654,Pseudomonas phage phiPsa17
Pseudomonas phage gh-1,197783,Pseudomonas phage gh-1
Pseudomonas phage KNP,2783802,Pseudomonas phage KNP
Pseudomonas phage phiPSA2,1500756,Pseudomonas phage phiPSA2
Pseudomonas phage WRT,2783803,Pseudomonas phage WRT
Pseudomonas phage UNO-SLW1,1873993,Pseudomonas phage UNO-SLW1
Pseudomonas phage phiIBB-PF7A,942165,Pseudomonas phage phiIBB-PF7A
Pseudomonas phage Phi-S1,1204538,Pseudomonas phage Phi-S1
Pseudomonas phage 22PfluR64PP,2163970,Pseudomonas phage 22PfluR64PP
Pseudomonas phage PFP1,2201462,Pseudomonas phage PFP1
Pseudomonas phage Pf-10,1562076,Pseudomonas phage Pf-10
Escherichia phage LL2,2301650,Escherichia phage LL2
Citrobacter phage SH1,1805464,Citrobacter phage SH1
Salmonella phage vB_SAg-RPN15,2910948,Salmonella phage vB_SAg-RPN15
Yersinia phage vB_YenP_AP5,1536611,Yersinia phage vB_YenP_AP5
Serratia phage SM9-3Y,1897434,Serratia phage SM9-3Y
Salmonella phage phiSG-JL2,529929,Salmonella phage phiSG-JL2
Escherichia phage ECA2,1852630,Escherichia phage ECA2
Citrobacter phage phiCFP-1,1610508,Citrobacter phage phiCFP-1
Enterobacter phage E-3,1636314,Enterobacter phage E-3
Citrobacter phage SH2,1805465,Citrobacter phage SH2
Leclercia phage 10164-302,2024248,Leclercia phage 10164-302
Serratia phage 2050H2,2024251,Serratia phage 2050H2
Yersinia phage phiYeO3-12,110457,Yersinia phage phiYeO3-12
Enterobacter phage E-2,1636313,Enterobacter phage E-2
Yersinia phage phiYe-F10,1662463,Yersinia phage phiYe-F10
Enterobacteria phage T3,10759,Enterobacteria phage T3
Enterobacteria phage T7M,1075774,Enterobacteria phage T7M
Dickeya phage Mysterion,2320193,Dickeya phage Mysterion
Dickeya phage Luksen,2320192,Dickeya phage Luksen
Dickeya phage Dagda,2163630,Dickeya phage Dagda
Dickeya phage Katbat,2320191,Dickeya phage Katbat
Vibrio phage VP4,329886,Vibrio phage VP4
Vibrio phage ICP3,979535,Vibrio phage ICP3
Vibrio phage N4,644563,Vibrio phage N4
Pectobacterium phage PPWS4,1961914,Pectobacterium phage PPWS4
Pectobacterium phage PP47,1932882,Pectobacterium phage PP47
Pectobacterium phage PP81,1927014,Pectobacterium phage PP81
Morganella phage vB_MmoP_MP2,1852627,Morganella phage vB_MmoP_MP2
Morganella phage MmP1,526118,Morganella phage MmP1
Yersinia phage fPS-59,2052754,Yersinia phage fPS-59
Yersinia phage fPS-9,2052746,Yersinia phage fPS-9
Yersinia phage fPS-54-ocr,2052753,Yersinia phage fPS-54-ocr
Yersinia phage fPS-53,2052752,Yersinia phage fPS-53
Dickeya phage vB_DsoP_JA10,2283033,Dickeya phage vB_DsoP_JA10
Dickeya phage Ninurta,2163631,Dickeya phage Ninurta
Pseudomonas phage vB_PsyP_3MF5,2749426,Pseudomonas phage vB_PsyP_3MF5
Pseudomonas phage PPpW-4,1279083,Pseudomonas phage PPpW-4
Pectobacterium phage Jarilo,2163634,Pectobacterium phage Jarilo
Pseudomonas phage PspYZU08,1983557,Pseudomonas phage PspYZU08
Pectobacterium phage DU_PP_II,2041489,Pectobacterium phage DU_PP_II
